nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"DELGADO LOPEZ M JESUS","CL RAMON Y CAJAL (DE) 5","28100","CENTRO DE EMPRESAS","626723561","NO DISPONIBLE","info@mjdpsicologia.es","NO DISPONIBLE","Mª JESUS DELGADO LOPEZ","","SERVICIOS MEDICOS","PSICOLOGIA",40.54250148,-3.65225970
"1 MAS 1 COMUNICACIÓN","CR FUENCARRAL (DE) 44 EDF. 9, LOCAL 1","28108","POLIGONO INDUSTRIAL","912190836","NO DISPONIBLE","rebeca.gomez@comunicacion1mas1.com","www.comunicacion1mas1.com","REBECA GOMEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","EMPRESA DE COMUNICACIÓN",40.51888227,-3.65470622
"1&1 INTERNET ESPAÑA","AV VEGA (DE LA) 1 PISO 5, PUERTA C, EDF. VEGANOVA","28100","ARROYO DE LA VEGA","912177896 /  902585111 / 913123456","902023296","info@1&1.es","www.1and1.es","NO DISPONIBLE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ASESORAMIENTO, DISTRIBUCION DE PRODUCTOS DE TELECOMUNICACION",40.52433701,-3.63873734
"2LUNCH.COM","AV VALDELAPARRA (DE) 48","28100","CASCO URBANO","NO DISPONIBLE","NO DISPONIBLE","info@2lunch.es","www.2lunch.com","Sr. WOLTERS","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","PLATAFORMA WEB DE VENTA DE MENUS A OFICINAS Y CATERING",40.54001469,-3.65830730
"3PORQUINCE","CR FUENCARRAL (DE) 56 OFICINA 99, 3ºPLANTA","28108","POLIGONO INDUSTRIAL","916294088","NO DISPONIBLE","info@3porquince.com","www.3porquince.com","MOISES CHOCRON","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","IMPORTACION, COMERCIALIZACION, PACKAGING: CAJAS Y BOLSOS DE TODO TIPO DE MATERIALES",40.51888227,-3.65470622
"5.0 ARQUITECTOS","CR FUENCARRAL (DE) 44 EDF. 7, OFICINA 37","28108","POLIGONO INDUSTRIAL","916638943","NO DISPONIBLE","info@cincopuntocero.es","www.cincopuntocero.es","RUTH MONTERO / LAURA CAMARA","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA",40.51888227,-3.65470622
"A.D.T. S.A","CL ARAGONESES (DE LOS) 12","28108","POLIGONO INDUSTRIAL","916610908","916613118","vrojo@adt.es","www.adt.es","VALENTIN ROJO","","LOGISTICA Y ALMACENAJE","ALMACENAMIENTO, DISTRIBUCION Y TRANSPORTE",40.52168940,-3.66322126
"A.D.T.OPERADOR LOGISTICO","CL SAN JOSE ARTESANO (DE) 1","28108","POLIGONO INDUSTRIAL","916610908 - 9166110781","916613105","vrojo@adt.es","www.adt.es","VALENTIN ROJO/ALBERTO ROGERO","","LOGISTICA Y ALMACENAJE","OPERADOR LOGISTICO, CARGA, DESCARGA ALMACENAMIENTO, PREPARACION DE PEDIDOS DISTRIBUCCION",40.52979004,-3.65666286
"A.S.P. ELECTRONIC","AV DOCTOR SEVERO OCHOA (DEL) 43 - LOCAL I","28100","PARQUE EMP. CASABLANCA","916619795","916624339","info@asp-electronic.com","www.asp-electronic.com","ANTONIO PATIÑO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION Y DISTRIBUCION DE EQUIPOS ELECTRONICOS Y MEDICOS",40.54136708,-3.65367784
"AAB LIMPIEZAS MADRILEÑAS","CL REYES CATOLICOS (DE LOS) 4 - 6 - NAVE 3","28108","POLIGONO INDUSTRIAL","916615551/916615552","916617000","marisa@grupoaab.com","www.aablimpiezas.com","MARISA CASTAÑO","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","POCERIA. OBRAS, MANTENIMIENTOS Y LIMPIEZAS DE ALCANTARILLADO",40.53634981,-3.65109787
